臺灣 Taiwan,#genre#
鳳凰衛視,https://smart.ykq001.cloud/Smart.php?id=phoenixtv_hd
鳳凰資訊,https://smart.ykq001.cloud/Smart.php?id=phoenixinfo_hd
鳳凰香港,https://smart.ykq001.cloud/Smart.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,https://smart.ykq001.cloud/Smart.php?id=cctv1
CCTV-2,https://smart.ykq001.cloud/Smart.php?id=cctv2
CCTV-3,https://smart.ykq001.cloud/Smart.php?id=cctv3
CCTV-4,https://smart.ykq001.cloud/Smart.php?id=cctv4
CCTV-4 ,https://smart.ykq001.cloud/Smart.php?id=Cctv4
CCTV-5,https://smart.ykq001.cloud/Smart.php?id=cctv5
CCTV-5+,https://smart.ykq001.cloud/Smart.php?id=cctv5plus
CCTV-6,https://smart.ykq001.cloud/Smart.php?id=cctv6
CCTV-7,https://smart.ykq001.cloud/Smart.php?id=cctv7
CCTV-8,https://smart.ykq001.cloud/Smart.php?id=cctv8hd
CCTV-9,https://smart.ykq001.cloud/Smart.php?id=cctv9hd
CCTV-10,https://smart.ykq001.cloud/Smart.php?id=cctv10hd
CCTV-11,https://smart.ykq001.cloud/Smart.php?id=cctv11
CCTV-12,https://smart.ykq001.cloud/Smart.php?id=cctv12
CCTV-13,https://smart.ykq001.cloud/Smart.php?id=cctv13
CCTV-14,https://smart.ykq001.cloud/Smart.php?id=cctv14
CCTV-15,https://smart.ykq001.cloud/Smart.php?id=cctv15
CCTV-16,https://smart.ykq001.cloud/Smart.php?id=cctv16
CCTV-17,https://smart.ykq001.cloud/Smart.php?id=cctv17
湖南衛視,https://smart.ykq001.cloud/Smart.php?id=hunan_twn
江蘇衛視,https://smart.ykq001.cloud/Smart.php?id=jiangsu_twn
深圳衛視,https://smart.ykq001.cloud/Smart.php?id=shenzhen
大灣區衛視,https://smart.ykq001.cloud/Smart.php?id=nanfang_twn
廣東衛視,https://smart.ykq001.cloud/Smart.php?id=guangdongweishi_twn
北京衛視,https://smart.ykq001.cloud/Smart.php?id=beijing
廣東珠江,https://smart.ykq001.cloud/Smart.php?id=zhujiang
廣西衛視,https://smart.ykq001.cloud/Smart.php?id=guangxi
湖北衛視,https://smart.ykq001.cloud/Smart.php?id=hubei
四川衛視,https://smart.ykq001.cloud/Smart.php?id=sichuan_twn
鳳凰衛視,https://smart.ykq001.cloud/Smart.php?id=phoenixtv_hd
東方衛視,https://smart.ykq001.cloud/Smart.php?id=dongfangweishi_twn
CGTN,https://smart.ykq001.cloud/Smart.php?id=CGTN
鳳凰資訊,https://smart.ykq001.cloud/Smart.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,https://smart.ykq001.cloud/Smart.php?id=Assp1
Supersports 1(備用),https://smart.ykq001.cloud/Smart.php?id=go_assp1
Supersportq 1(備用2),https://smart.ykq001.cloud/Smart.php?id=Assp1_mega
Supersports 2,https://smart.ykq001.cloud/Smart.php?id=Assp2
Supersports 2(備用),https://smart.ykq001.cloud/Smart.php?id=go_assp2
Supersports 3,https://smart.ykq001.cloud/Smart.php?id=Assp3
Supersports 3(備用),https://smart.ykq001.cloud/Smart.php?id=go_assp3
Supersports 3(備用2),https://smart.ykq001.cloud/Smart.php?id=Assp3_mega
Supersports 4,https://smart.ykq001.cloud/Smart.php?id=Assp4_mega
Supersports 4(備用),https://smart.ykq001.cloud/Smart.php?id=go_assp4
Supersports 5,https://smart.ykq001.cloud/Smart.php?id=go_assp5
Bein 2HD,https://smart.ykq001.cloud/Smart.php?id=Beinhd
Beinsports HD,https://smart.ykq001.cloud/Smart.php?id=Besports
Champion 5 EPL,https://smart.ykq001.cloud/Smart.php?id=Champion5epl
WWE,https://smart.ykq001.cloud/Smart.php?id=Wwe
Champion 6 EPL,https://smart.ykq001.cloud/Smart.php?id=Champion6epl
Fight Sports,https://smart.ykq001.cloud/Smart.php?id=Fs
UFC Network,https://smart.ykq001.cloud/Smart.php?id=ufc_mega
NBA TV,https://smart.ykq001.cloud/Smart.php?id=nbatv_twn
Astro Cricket,https://smart.ykq001.cloud/Smart.php?id=Acricket_mega
Astro Golf,https://smart.ykq001.cloud/Smart.php?id=Agolf
TNT Sports 1,https://smart.ykq001.cloud/Smart.php?id=beeone
TNT Sports 2,https://smart.ykq001.cloud/Smart.php?id=beetwo
TNT Sports 3,https://smart.ykq001.cloud/Smart.php?id=beethree
TNT Sports 4,https://smart.ykq001.cloud/Smart.php?id=beefour
Sony Ten 1,https://smart.ykq001.cloud/Smart.php?id=ten1_raj
Sony Ten 2,https://smart.ykq001.cloud/Smart.php?id=ten2_raj
Sony Ten 3,https://smart.ykq001.cloud/Smart.php?id=ten3_raj
SPOTV 1 HD,https://smart.ykq001.cloud/Smart.php?id=go_spotv
SPO TV 2,https://smart.ykq001.cloud/Smart.php?id=go_spotv2
Beinsports 2 HD,https://smart.ykq001.cloud/Smart.php?id=Bein2hd
Skysports Arena,https://smart.ykq001.cloud/Smart.php?id=tiankongarena
Skysports F1,https://smart.ykq001.cloud/Smart.php?id=tiankongf1
Skysports Cricket,https://smart.ykq001.cloud/Smart.php?id=tiankongcricket
Skysports EPL,https://smart.ykq001.cloud/Smart.php?id=tiankongepl
Skysports Football,https://smart.ykq001.cloud/Smart.php?id=tiankongfootball
Skysports Golf,https://smart.ykq001.cloud/Smart.php?id=tiankonggolf
Skysports Main Event,https://smart.ykq001.cloud/Smart.php?id=tiankongmain
Skysports News,https://smart.ykq001.cloud/Smart.php?id=tiankongnews
Skysports NFL,https://smart.ykq001.cloud/Smart.php?id=tiankongnfl
Skysports Racing,https://smart.ykq001.cloud/Smart.php?id=tiankongracing
Skysports Mix,https://smart.ykq001.cloud/Smart.php?id=tiankongmix
CCTV-5,https://smart.ykq001.cloud/Smart.php?id=cctv5
CCTV-5+,https://smart.ykq001.cloud/Smart.php?id=cctv5plus
愛爾達體育2台,https://smart.ykq001.cloud/Smart.php?id=eltasport2_twn
愛爾達體育3台,https://smart.ykq001.cloud/Smart.php?id=eltasport3_twn
RTM Sports HD,https://smart.ykq001.cloud/Smart.php?id=Rtmsport
Arena,https://smart.ykq001.cloud/Smart.php?id=Arena
Arena 2,https://smart.ykq001.cloud/Smart.php?id=Arena2
BolaArena 1,https://smart.ykq001.cloud/Smart.php?id=Bolaarena1
Bein 1 Sports,https://smart.ykq001.cloud/Smart.php?id=bein1_mega
Bein 2 Sports,https://smart.ykq001.cloud/Smart.php?id=bein2_mega
Bein 3 Sports,https://smart.ykq001.cloud/Smart.php?id=bein3_mega
Bein 4 Sports,https://smart.ykq001.cloud/Smart.php?id=bein4_mega
Bein 5 Sports,https://smart.ykq001.cloud/Smart.php?id=bein5_mega
Bein 6 Sports,https://smart.ykq001.cloud/Smart.php?id=bein6_mega
Bein 7 Sports,https://smart.ykq001.cloud/Smart.php?id=bein7_mega
Rugby Pass TV,https://smart.ykq001.cloud/Smart.php?id=Rugbypasstv
BolaArena 2,https://smart.ykq001.cloud/Smart.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,https://smart.ykq001.cloud/Smart.php?id=Suntv
Star Vijay,https://smart.ykq001.cloud/Smart.php?id=Starvijay
Colors Tamil,https://smart.ykq001.cloud/Smart.php?id=Colorstam_mega
Sun Music,https://smart.ykq001.cloud/Smart.php?id=Sunmusic
Astro Sunlife,https://smart.ykq001.cloud/Smart.php?id=Sunlife
Astro Vaanavil,https://smart.ykq001.cloud/Smart.php?id=Vaanavil
Zee Tamil,https://smart.ykq001.cloud/Smart.php?id=Zeetamil
Zee Business,https://smart.ykq001.cloud/Smart.php?id=Zeebusiness
News 18 Tamil,https://smart.ykq001.cloud/Smart.php?id=news18tamil_raj
Adithya,https://smart.ykq001.cloud/Smart.php?id=Adithya
Makkal TV,https://smart.ykq001.cloud/Smart.php?id=Makkaltv
